,Server Price,Sever Details
0,$27.25,License windows server 2016 RDS CAL 10 users
1,$695.00,"Cisco UCS C220 M4 UCSC-C220-M4S 1U Rack Server CTO 12G RAID 8 x 2.5"" caddies"
2,"$2,179.46",Intel H2312JFKR 4 Node Servers 8 x Eight-Core XEON E5-2650 128GB 2U Rack Server
3,$673.30,"HP DL580 G7 8SFF 4x E7-4870 40 Cores @ 2.4G 128GB RAM 4x PSU, Raid, Rails"
4,"$319.00 to $1,235.00",UXS Server Variant 1U Supermicro X9DRI-LN4F+ Rev 1.20 to 2x E5-2697 V2 256GB RAM
5,$505.34 to $732.46,"Nextcloud Server Advanced, including PCIe SSD, preconfigured, ready to go"
6,$688.00,UXS Server 2U Supermicro FREENAS 11 JBOD 12 Bay X9DRI-LN4F+ 2x Xeon E5-2620 18TB
7,$317.96,HP ProLiant se326m1 Storage Server 2x Xeon x5670 six core 2.93 GHz 16 GB Ram spots
8,$501.00,UXS Server 2U Supermicro 2 Node 12 bay Twin 4x Xeon Low Power Core CPU 128GB 
9,$980.24,New ListingHP 768645-001 Proliant DL320E Gen8 Xeon E3-1241V3 3.5GHz Rack-Mount Server - NEW
10,$350.00,New ListingDELL PowerEdge R620 Server 2x 2.50 Ghz Six-Core Xeon /No RAM / NO HDD
11,$199.00,UXS Server Supermicro 2U Case 12 Bay Chassis CSE-826A-R920LPB IPASS Backplane
12,$215.75,HP ProLiant se326m1 Storage Server 2x Xeon l5630 QC 2.13 GHz 16 GB RAM 292 GB
13,$575.00,UXS Server Linux 1U Open Source AES-NI 2x Xeon X5670 64GB RAM 500G HD 2x 10GBE
14,$454.23,HP 727021-b21 HPE bl460c gen9 e5 v3 Blade Server
15,$720.00,New Listing2U Supermicro 6 Bay X8QB6-F 6Gbps Server 4x Intel Xeon E7-4830 32 Core 128GB RAM
16,$350.90,"Fujitsu Primergy rx200 s8 1u 4x 2,5"" SFF 2x Xeon e5-2600v2 VMware Server CTO"
17,$225.98,IBM x3650 m3 x8 Intel Xeon e5520-x5690 -288 GB Server Configurator 6c VMware
18,$199.99,"Dell PowerEdge R710 12-Core 2.5"" Server 32GB RAM PERC6i DVD iDRAC6 2x 300GB SAS"
19,"$1,649.99","Dell PowerEdge R620 8Bay Server, 2x 2.9GHz 8Core E5-2690, 128GB, 8x 900GB, H710"
20,$275.00,UXS Server Supermicro 4U SuperChassis 748TQ-R1400B 4x CPU 5 Bay 2x 1400Watt PS
21,$574.61,"IBM System x3650 m4 19"" 2u Server 8x 2,5"" SFF 2x Intel Xeon e5-2600 v1/v2 Serv"
22,"$1,231.95","Dell PowerEdge R710 2x X5690 3.46GHz Hex Six Core 128GB RAM 6x 1TB HDD H700 3.5"""
23,$710.95,"Dell PowerEdge R710 2xHexCore XEON X5670 2.93GHz 128GB 300GB 2.5"" 10K Enterprise"
24,$269.99,"Dell PowerEdge R710 12-Core 2.5"" Server 64GB RAM PERC6i DVD iDRAC6 2x 600GB SAS"
25,$624.84,New ListingHP PROLIANT BL465C G8 GEN 8 BLADE SERVER 2X 12 CORE CPU 32GB RAM 6344 Amd
26,"$2,199.00 to $5,999.00",Dell PowerEdge R730 2U Rack Server CTO Up to 2x E5-2696/2699 v4 Max 3.7GHz 256GB
27,"$2,019.99","Dell PowerEdge R720XD Server, 2x E5-2690V2 3GHz 10Core, 128GB, H710, 12x 3TB SAS"
28,"$2,073.59",Dell PowerEdge R720 2U 16 bay 2 x E5-2660 v2 192GB RAM 2 x 300GB SSD 10gb card
29,$124.99,IBM BladeCenter HS23 7875-AC1 Bare LGA2011 DDR3 Blade Server 2x Heatsinks
30,"$1,569.99","New ListingDell PowerEdge R630 Server, 2x E5-2630 V3 2.4GHz 8Core, 32GB, 4x 300GB, H730"
31,$269.99,"New ListingDell PowerEdge R610 Server, 2x X5675 3.06GHz 6 Core, 32GB, 4x 146GB 15k, H700"
32,$249.99,"New ListingDell PowerEdge R610 Server, 2x X5675 3.06GHz 6 Core, 32GB, 4x 146GB 15k, PERC6i"
33,"$1,999.00 to $5,999.00",Dell PowerEdge R630 1U Rack Server CTO Up2 2x Xeon E5-2696 v4 44 Cores 256GB RAM
34,$229.99,Dell PowerEdge R710 Virtualization Server 8-Core 48GB 4x300GB 10K 1.2TB PERC6i
35,$917.93,High-End HP ProLiant DL360P G8 Server 2x 2.70Ghz E5-2680 256GB 3x 146GB 15K SAS
36,"$1,219.99","Dell PowerEdge R720XD Server, 2x E5-2690V2 3GHz 10Core, 64GB, 12x Trays, H310"
37,$419.99,"New ListingDell PowerEdge R610 Server 2x 3.06 GHz Six Core, 64GB, 6x 300GB 10k, H700, RPS"
38,$624.99,"New ListingDell PowerEdge R610 Server, 2x X5675 3.06GHz 6 Core, 32GB, 6x 1TB SATA, H700"
39,$229.99,Dell PowerEdge R610 Server 2x 2.93GHz 8-Core 64GB 2x Trays PERC 6i 2x power
40,$379.99,"New ListingDell PowerEdge R610 Server 2x 3.06 GHz Six Core, 64GB, 6x 146GB 15k, H700, RPS"
41,$467.03,Intel SSD DC P3605 NVMe 1.6TB MLC PCIe P3600 Series £300+VAT
